Direcciones;Latitud;Longitud;Nro Radicado
Carrera 65 Calle 81 Sur LA ESTRELLA;61584728;-756467108;10212
Carrera 62A Calle 73 Sur LA ESTRELLA;61631083;-756439745;10213
Carrera 50 Calle 98 Sur LA ESTRELLA;61283022;-756327344;10214
Carrera 59 Calle 79 Sur LA ESTRELLA;61584664;-756417332;10215
Carrera 56D Calle 82 Sur LA ESTRELLA;61553149;-756402707;10216
Carrera 50 Calle 100 Sur LA ESTRELLA;61194097;-756344227;10217
Carrera 50 Calle 94 Sur LA ESTRELLA;6145127;-756335377;10218
Calle 100 Sur Carrera 46 LA ESTRELLA;61198157;-756306114;10219
Carrera 62A Calle 75 Sur LA ESTRELLA;61631696;-756440751;10220
Carrera 51 Calle 96A Sur LA ESTRELLA;61319976;-756360955;10221
Carrera 50 Calle 79 Sur LA ESTRELLA;61539353;-756289665;10222
Carrera 50 Calle 97 Sur LA ESTRELLA;61331391;-756337246;10223
Carrera 50 Calle 79C Sur LA ESTRELLA;61529569;-756318012;10224
Calle 79 Sur Carrera 59 LA ESTRELLA;61584664;-756417332;10225
Calle 80 Sur Carrera 59 LA ESTRELLA;61576307;-756419947;10226
Calle 77 Sur Carrera 59A LA ESTRELLA;6159589;-756417035;10227
Carrera 50AA Calle 96BB Sur LA ESTRELLA;6133706;-756345157;10228
Carrera 48 Calle 98A Sur LA ESTRELLA;61234898;-756299991;10229
Carrera 50 Calle 83 Sur LA ESTRELLA;61529439;-756316332;10230
Carrera 62A Calle 75B Sur LA ESTRELLA;61621156;-756442502;10231
Calle 100 Sur Carrera 48 LA ESTRELLA;61196971;-756315951;10232
Carrera 60 Calle 77 Sur LA ESTRELLA;61596519;-756427118;10233
Carrera 50AA Calle 96AA Sur LA ESTRELLA;61342609;-756347272;10234
Carrera 50 Calle 48 Sur LA ESTRELLA;61441505;-756334228;10235
Carrera 49 Calle 79D Sur LA ESTRELLA;61154847;-756355578;10236
Calle 83 Sur Carrera 55 LA ESTRELLA;61537763;-756380555;10237
Carrera 50 Calle 96 Sur LA ESTRELLA;61349499;-756344472;10238
Calle 74 Sur Carrera 63AA LA ESTRELLA;61645847;-756433602;10239
Carrera 62 Calle 83A Sur LA ESTRELLA;61561168;-756454201;10240
Calle 94 Sur Carrera 49 LA ESTRELLA;61384099;-756350143;10241
Carrera 61 Calle 80 Sur LA ESTRELLA;6158204;-756435854;10242
Carrera 55 Calle 83 Sur LA ESTRELLA;61482394;-75637607;10243
Carrera 56D Calle 77 Sur LA ESTRELLA;61600851;-756389193;10244
Carrera 63C Calle 73 Sur LA ESTRELLA;61671775;-756483917;10245
